,close price
2012/1/3,2648.72
2012/1/4,2648.36
2012/1/5,2669.86
2012/1/6,2674.22
2012/1/9,2676.56
2012/1/10,2702.5
2012/1/11,2710.76
2012/1/12,2724.7
2012/1/13,2710.67
2012/1/17,2728.08
2012/1/18,2769.71
2012/1/19,2788.33
2012/1/20,2786.7
2012/1/23,2784.17
2012/1/24,2786.64
2012/1/25,2818.31
2012/1/26,2805.28
2012/1/27,2816.55
2012/1/30,2811.94
2012/1/31,2813.84
2012/2/1,2848.27
2012/2/2,2859.68
2012/2/3,2905.66
2012/2/6,2901.99
2012/2/7,2904.08
2012/2/8,2915.86
2012/2/9,2927.23
2012/2/10,2903.88
2012/2/13,2931.39
2012/2/14,2931.83
2012/2/15,2915.83
2012/2/16,2959.85
2012/2/17,2951.78
2012/2/21,2948.57
2012/2/22,2933.17
2012/2/23,2956.98
2012/2/24,2963.75
2012/2/27,2966.16
2012/2/28,2986.76
2012/2/29,2966.89
2012/3/1,2988.97
2012/3/2,2976.19
2012/3/5,2950.48
2012/3/6,2910.32
2012/3/7,2935.69
2012/3/8,2970.42
2012/3/9,2988.34
2012/3/12,2983.66
2012/3/13,3039.88
2012/3/14,3040.73
2012/3/15,3056.37
2012/3/16,3055.26
2012/3/19,3078.32
2012/3/20,3074.15
2012/3/21,3075.32
2012/3/22,3063.32
2012/3/23,3067.92
2012/3/26,3122.57
2012/3/27,3120.35
2012/3/28,3104.96
2012/3/29,3095.36
2012/3/30,3091.57
2012/4/2,3119.7
2012/4/3,3113.57
2012/4/4,3068.09
2012/4/5,3080.5
2012/4/9,3047.08
2012/4/10,2991.22
2012/4/11,3016.46
2012/4/12,3055.55
2012/4/13,3011.33
2012/4/16,2988.4
2012/4/17,3042.82
2012/4/18,3031.45
2012/4/19,3007.56
2012/4/20,3000.45
2012/4/23,2970.45
2012/4/24,2961.6
2012/4/25,3029.63
2012/4/26,3050.61
2012/4/27,3069.2
2012/4/30,3046.36
2012/5/1,3050.44
2012/5/2,3059.85
2012/5/3,3024.3
2012/5/4,2956.34
2012/5/7,2957.76
2012/5/8,2946.27
2012/5/9,2934.71
2012/5/10,2933.64
2012/5/11,2933.82
2012/5/14,2902.58
2012/5/15,2893.76
2012/5/16,2874.04
2012/5/17,2813.69
2012/5/18,2778.79
2012/5/21,2847.21
2012/5/22,2839.08
2012/5/23,2850.12
2012/5/24,2839.38
2012/5/25,2837.53
2012/5/29,2870.99
2012/5/30,2837.36
2012/5/31,2827.34
2012/6/1,2747.48
2012/6/4,2760.01
2012/6/5,2778.11
2012/6/6,2844.72
2012/6/7,2831.02
2012/6/8,2858.42
2012/6/11,2809.73
2012/6/12,2843.07
2012/6/13,2818.61
2012/6/14,2836.33
2012/6/15,2872.8
2012/6/18,2895.33
2012/6/19,2929.76
2012/6/20,2930.45
2012/6/21,2859.09
2012/6/22,2892.42
2012/6/25,2836.17
2012/6/26,2854.06
2012/6/27,2875.32
2012/6/28,2849.49
2012/6/29,2935.06
2012/7/2,2951.24
2012/7/3,2976.09
2012/7/5,2976.12
2012/7/6,2937.33
2012/7/9,2931.77
2012/7/10,2902.34
2012/7/11,2887.99
2012/7/12,2866.19
2012/7/13,2908.47
2012/7/16,2896.95
2012/7/17,2910.04
2012/7/18,2942.61
2012/7/19,2965.9
2012/7/20,2925.3
2012/7/23,2890.16
2012/7/24,2863
2012/7/25,2854.25
2012/7/26,2893.25
2012/7/27,2958.09
2012/7/30,2945.84
2012/7/31,2939.52
2012/8/1,2920.21
2012/8/2,2909.77
2012/8/3,2967.9
2012/8/6,2989.91
2012/8/7,3015.86
2012/8/8,3011.25
2012/8/9,3018.64
2012/8/10,3020.86
2012/8/13,3022.52
2012/8/14,3016.98
2012/8/15,3030.93
2012/8/16,3062.39
2012/8/17,3076.59
2012/8/20,3076.21
2012/8/21,3067.26
2012/8/22,3073.67
2012/8/23,3053.4
2012/8/24,3069.79
2012/8/27,3073.19
2012/8/28,3077.14
2012/8/29,3081.19
2012/8/30,3048.71
2012/8/31,3066.96
2012/9/4,3075.06
2012/9/5,3069.27
2012/9/6,3135.81
2012/9/7,3136.42
2012/9/10,3104.02
2012/9/11,3104.53
2012/9/12,3114.31
2012/9/13,3155.83
2012/9/14,3183.95
2012/9/17,3178.67
2012/9/18,3177.8
2012/9/19,3182.62
2012/9/20,3175.96
2012/9/21,3179.96
2012/9/24,3160.78
2012/9/25,3117.73
2012/9/26,3093.7
2012/9/27,3136.6
2012/9/28,3116.23
2012/10/1,3113.53
2012/10/2,3120.04
2012/10/3,3135.23
2012/10/4,3149.46
2012/10/5,3136.19
2012/10/8,3112.35
2012/10/9,3065.02
2012/10/10,3051.78
2012/10/11,3049.41
2012/10/12,3044.11
2012/10/15,3064.18
2012/10/16,3101.17
2012/10/17,3104.12
2012/10/18,3072.87
2012/10/19,3005.62
2012/10/22,3016.96
2012/10/23,2990.46
2012/10/24,2981.7
2012/10/25,2986.12
2012/10/26,2987.95
2012/10/31,2977.23
2012/11/1,3020.06
2012/11/2,2982.13
2012/11/5,2999.66
2012/11/6,3011.93
2012/11/7,2937.29
2012/11/8,2895.58
2012/11/9,2904.87
2012/11/12,2904.26
2012/11/13,2883.89
2012/11/14,2846.81
2012/11/15,2836.94
2012/11/16,2853.13
2012/11/19,2916.07
2012/11/20,2916.68
2012/11/21,2926.55
2012/11/23,2966.85
2012/11/26,2976.78
2012/11/27,2967.79
2012/11/28,2991.78
2012/11/29,3012.03
2012/11/30,3010.24
2012/12/3,3002.2
2012/12/4,2996.69
2012/12/5,2973.7
2012/12/6,2989.27
2012/12/7,2978.04
2012/12/10,2986.96
2012/12/11,3022.3
2012/12/12,3013.81
2012/12/13,2992.16
2012/12/14,2971.33
2012/12/17,3010.6
2012/12/18,3054.53
2012/12/19,3044.36
2012/12/20,3050.39
2012/12/21,3021.01
2012/12/24,3012.6
2012/12/26,2990.16
2012/12/27,2985.91
2012/12/28,2960.31
2012/12/31,3019.51
2013/1/2,3112.26
2013/1/3,3100.57
2013/1/4,3101.66
2013/1/7,3098.81
2013/1/8,3091.81
2013/1/9,3105.81
2013/1/10,3121.76
2013/1/11,3125.63
2013/1/14,3117.5
2013/1/15,3110.78
2013/1/16,3117.54
2013/1/17,3136
2013/1/18,3134.71
2013/1/22,3143.18
2013/1/23,3153.67
2013/1/24,3130.38
2013/1/25,3149.71
2013/1/28,3154.3
2013/1/29,3153.66
2013/1/30,3142.31
2013/1/31,3142.13
2013/2/1,3179.1
2013/2/4,3131.17
2013/2/5,3171.58
2013/2/6,3168.48
2013/2/7,3165.13
2013/2/8,3193.87
2013/2/11,3192
2013/2/12,3186.49
2013/2/13,3196.88
2013/2/14,3198.66
2013/2/15,3192.03
2013/2/19,3213.59
2013/2/20,3164.41
2013/2/21,3131.49
2013/2/22,3161.82
2013/2/25,3116.25
2013/2/26,3129.65
2013/2/27,3162.26
2013/2/28,3160.19
2013/3/1,3169.74
2013/3/4,3182.03
2013/3/5,3224.13
2013/3/6,3222.37
2013/3/7,3232.09
2013/3/8,3244.37
2013/3/11,3252.87
2013/3/12,3242.32
2013/3/13,3245.12
2013/3/14,3258.93
2013/3/15,3249.07
2013/3/18,3237.59
2013/3/19,3229.1
2013/3/20,3254.19
2013/3/21,3222.6
2013/3/22,3245
2013/3/25,3235.3
2013/3/26,3252.48
2013/3/27,3256.52
2013/3/28,3267.52
2013/4/1,3239.17
2013/4/2,3254.86
2013/4/3,3218.6
2013/4/4,3224.98
2013/4/5,3203.86
2013/4/8,3222.25
2013/4/9,3237.86
2013/4/10,3297.25
2013/4/11,3300.16
2013/4/12,3294.95
2013/4/15,3216.49
2013/4/16,3264.63
2013/4/17,3204.67
2013/4/18,3166.36
2013/4/19,3206.06
2013/4/22,3233.55
2013/4/23,3269.33
2013/4/24,3269.65
2013/4/25,3289.99
2013/4/26,3279.26
2013/4/29,3307.02
2013/4/30,3328.79
2013/5/1,3299.13
2013/5/2,3340.62
2013/5/3,3378.63
2013/5/6,3392.97
2013/5/7,3396.63
2013/5/8,3413.27
2013/5/9,3409.17
2013/5/10,3436.58
2013/5/13,3438.79
2013/5/14,3462.61
2013/5/15,3471.62
2013/5/16,3465.24
2013/5/17,3498.97
2013/5/20,3496.43
2013/5/21,3502.12
2013/5/22,3463.3
2013/5/23,3459.42
